Topic	Document	Sequence	Cosine_value	Relevance
352	FT911-2661	1	0.99709541304812	1
352	FT911-4067	2	0.9864780694477818	1
352	FT911-3370	3	0.9846949741935538	1
352	FT911-1768	4	0.9648865736187238	1
352	FT911-3432	5	0.9648865736187238	1
352	FT911-5186	6	0.9648865736187238	1
352	FT911-91	7	0.9648865736187238	1
352	FT911-2756	8	0.9286223909076095	1
352	FT911-4641	9	0.9286223909076095	1
352	FT911-328	10	0.9286223909076095	1
352	FT911-5179	11	0.9038847822495151	1
352	FT911-3503	12	0.8742963178883829	1
352	FT911-4814	13	0.8742963178883829	1
352	FT911-4741	14	0.8742963178883829	1
352	FT911-1462	15	0.8742963178883829	1
352	FT911-3641	16	0.8742963178883829	1
352	FT911-3947	17	0.8742963178883829	1
352	FT911-910	18	0.8742963178883829	1
352	FT911-1436	19	0.8742963178883829	1
352	FT911-3050	20	0.8742963178883829	1
352	FT911-1595	21	0.8742963178883829	1
352	FT911-4649	22	0.8000910645734814	1
352	FT911-4043	23	0.8000910645734814	1
352	FT911-2300	24	0.8000910645734814	1
352	FT911-404	25	0.8000910645734814	1
352	FT911-131	26	0.8000910645734814	1
352	FT911-4317	27	0.8000910645734814	1
352	FT911-3618	28	0.8000910645734814	1
352	FT911-4095	29	0.8000910645734814	1
352	FT911-417	30	0.8000910645734814	1
352	FT911-39	31	0.8000910645734814	1
352	FT911-3153	32	0.8000910645734814	1
352	FT911-4059	33	0.8000910645734814	1
352	FT911-2457	34	0.8000910645734814	1
352	FT911-2652	35	0.8000910645734814	1
352	FT911-4561	36	0.8000910645734814	1
352	FT911-133	37	0.8000910645734814	1
352	FT911-794	38	0.8000910645734814	1
352	FT911-1078	39	0.8000910645734814	1
352	FT911-1651	40	0.8000910645734814	1
352	FT911-3645	41	0.8000910645734814	1
352	FT911-1488	42	0.8000910645734814	1
352	FT911-1407	43	0.8000910645734814	1
352	FT911-3910	44	0.8000910645734814	1
352	FT911-2948	45	0.8000910645734814	1
352	FT911-3345	46	0.8000910645734814	1
352	FT911-2803	47	0.8000910645734814	1
352	FT911-4040	48	0.8000910645734814	1
352	FT911-3261	49	0.8000910645734814	1
352	FT911-56	50	0.8000910645734814	1
352	FT911-3006	51	0.8000910645734814	1
352	FT911-4784	52	0.8000910645734814	1
352	FT911-4786	53	0.8000910645734814	1
352	FT911-137	54	0.8000910645734814	1
352	FT911-3936	55	0.7557395441435636	1
352	FT911-1062	56	0.7557395441435636	1
352	FT911-519	57	0.7557395441435636	1
352	FT911-4127	58	0.7071067811865475	1
352	FT911-4887	59	0.7071067811865475	1
352	FT911-788	60	0.7071067811865475	1
352	FT911-4385	61	0.7071067811865475	1
352	FT911-1596	62	0.7071067811865475	1
352	FT911-5332	63	0.7071067811865475	1
352	FT911-3387	64	0.7071067811865475	1
352	FT911-2942	65	0.7071067811865475	1
352	FT911-3493	66	0.7071067811865475	1
352	FT911-2273	67	0.7071067811865475	1
352	FT911-535	68	0.7071067811865475	1
352	FT911-2639	69	0.7071067811865475	1
352	FT911-274	70	0.7071067811865475	1
352	FT911-4637	71	0.7071067811865475	1
352	FT911-3751	72	0.7071067811865475	1
352	FT911-1941	73	0.7071067811865475	1
352	FT911-4919	74	0.7071067811865475	1
352	FT911-2286	75	0.7071067811865475	1
352	FT911-1218	76	0.7071067811865475	1
352	FT911-1598	77	0.7071067811865475	1
352	FT911-4381	78	0.7071067811865475	1
352	FT911-5098	79	0.7071067811865475	1
352	FT911-5074	80	0.7071067811865475	1
352	FT911-2660	81	0.7071067811865475	1
352	FT911-2005	82	0.7071067811865475	1
352	FT911-4800	83	0.7071067811865475	1
352	FT911-2866	84	0.7071067811865475	1
352	FT911-3886	85	0.7071067811865475	1
352	FT911-4735	86	0.7071067811865475	1
